,song_name,lyrics
55,Run Up Lyrics,
56,I Love My Range Rover Lyrics,"She's so pretty|-|She know they want her but|-|She's so sididdy|-|They can't afford her but|-|All the boys there when she comes around my way|-|Straight out the driveway head to the highway|-|Red light, green light, got the best moves|-|Headlights beam bright got the best boobs|-|I call her double R my rough rider|-|We hit a couple malls then I remind her|-|Cuz on the road of life she is the spokesmodel|-|Her body tighter than a coke bottle|-|She super charge cars anything for Minaj|-|And she could only park in the superstar garage|-|'Cause she-she-she-she bad if anybody ask|-|Her bags is boss cuz her leather so soft|-|If it ain't of been softer tell 'em raise the offer|-|Used to fuck with a yellow bitch named Porsche|-|N-n-now it's me and her she say it's you Minaj|-|Red underneath her shoe, that's Louie Vuitton|-|La x28|-|I love my, I love my, I love my Range Rover|-|I love my Range Rover, I-I-I love my Range Rover|-|I love my, I love my, I love my Range Rover|-|I love my Range Rover, I-I-I love my Range Rover|-|Pumps on the gas 140 on the dash|-|On the dash, on the dash on the d-d-d-d-ash|-|Pumps on the gas 140 on the dash|-|On the dash, on the dash on the d-d-d-d-ash|-|She's so dope|-|You know she even help me transport the dope|-|That mama stay around that white like the pope|-|They get the canine but they can't smell the coke|-|Now you tell me why is it,|-|Now you tell me why is it|-|Don't need the ricker's visit|-|That is beacause I'm about the colour of the ghecko lizard|-|She L-Lewinsky hold ya bosses|-|Come around town 300 horses|-|Power she devour got them gettin' divorces|-|I don't stop for officers|-|And now we hit hydrolics|-|That's for the left turn|-|We dive the piece she got more horses than a western|-|You know she beat weight so she don't eat late|-|A vegetarian and she sippin' on that V8|-|They try to gas her they try to put it in her|-|You can't pass her, she faster than a TV dinner|-|Her liquors poppin'|-|We call it armarol|-|We chuck the deuces up|-|La x28|-|I love my, I love my, I love my Range Rover|-|I love my Range Rove, I-I-I love my Range Rover|-|I love my, I love my, I love my Range Rover|-|I love my Range Rove, I-I-I love my Range Rover|-|Pumps on the gas 140 on the dash|-|On the dash, on the dash on the d-d-d-d-ash|-|Pumps on the gas 140 on the dash|-|On the dash, on the dash on the d-d-d-d-ash"
57,Marilyn Monroe Lyrics,"I can be selfish|-|Yeah, so impatient|-|Sometimes I feel like Marilyn Monroe|-|I'm insecure, yeah, I make mistakes|-|Sometimes I feel like I'm at the end of the road|-|I can get low, I can get low|-|Don't know which way is up|-|Yeah, I can get high, I can get high|-|Like I could never come down|-|Call it a curse|-|Or just call me blessed|-|If you can't handle my worst|-|You ain't getting my best|-|Is this how Marilyn Monroe felt felt felt felt?|-|Must be how Marilyn Monroe felt felt felt felt|-|It's like all the good things|-|They fall apart like...|-|Like Marilyn Monroe|-|Truth is we mess up|-|'Til we get it right|-|I don't want to end up losing my soul|-|I can get low, I can get low|-|Don't know which way is up|-|Yeah, I can get high, I can get high|-|Like I could never come down|-|Call it a curse|-|Or just call me blessed|-|If you can't handle my worst|-|You ain't getting my best|-|Is this how Marilyn Monroe felt felt felt felt?|-|Must be how Marilyn Monroe felt felt felt felt|-|Take me or leave me|-|I'll never be perfect|-|Believe me I'm worth it|-|So take me or leave me|-|(So take me or leave me)|-|So take me or leave me|-|(So take me or leave me)|-|Call it a curse or just call|-|Me blessed if you can't handle|-|My worst you ain't getting my best|-|Is this how Marilyn Monroe felt, felt felt, felt?|-|Must be how Marilyn Monroe felt, felt, felt, felt|-|Is this how Marilyn Monroe felt, felt, felt, felt?|-|must be how Marilyn Monroe felt, felt, felt, felt"
58,Dear Old Nicki Lyrics,"Maybe you died 'cause everybody asked me, ""Where you at?""|-|I tried to channel you in hopes that I could stare back.|-|But it's like every intersection we just missed each other.|-|You got your fans waiting. Tell me you ain't 6 feet under.|-|And tell that you coming back and you just took a break.|-|Maybe I blamed you for everything - That was my mistake.|-|In hindsight, I loved your rawness and I loved your edge.|-|'Cause it was you who talked me down from jumping off the ledge.|-|Your earrings bamboo.|-|Your long nails, too.|-|Your BMW.|-|Every time you came through.|-|You was the brave heart.|-|You stole Wayne heart.|-|You never switched it up.|-|You played the same part.|-|But I needed to grow.|-|And I needed to know.|-|Were there some things inside of me that I needed to show?|-|So I just deaded you.|-|Left you in all black.|-|But dear, old Nicki|-|Please call back.|-|You told me you'd come when I needed you.|-|And you said it so sweetly I believed you|-|But I'm standing here calling.|-|I can't see you.|-|But I am holding you, holding you, holding you to that.|-|Yo, did I chase the glitz and glamour?|-|Money, fame and power?|-|'Cause if so that will forever go down my lamest hour.|-|I should've kept you with me gettin' at them nameless cowards.|-|There was no match for you.|-|Couldn't defeat your prowess.|-|I had to make them changes - I hope you understood.|-|You see for every bad, I did a ton of good.|-|But you was underground and I was mainstream.|-|I live the life now, that we would daydream.|-|My only wish is you come enjoy it with me.|-|Get on them conference calls.|-|Go meet them lawyers with me.|-|The money came. Yeah.|-|Tripled and quadrupled it.|-|But I still miss us when we was just on some stupid shit.|-|And it still fucked the media.|-|They ridiculed you.|-|Never believed in ya.|-|They just deaded you.|-|Left you in all black.|-|But dear old Nicki.|-|Please call back.|-|You told me you'd come when I needed you.|-|And you said it so sweetly I believed you.|-|But I'm standing here calling.|-|I can't see you.|-|But I am holding you, holding you, holding you to that.|-|And, yes. I'm holding you, holding you, holding you|-|And, yes. I'm holding you, holding you, holding you|-|And, yes. I'm holding you, holding you, holding you to that.|-|And, yes. I'm holding you, holding you, holding you|-|And, yes. I'm holding you, holding you, holding you|-|And, yes. I'm holding you, holding you, holding you to that."
59,FEFE Lyrics,"It's Fuckin' Treyway!|-|King of New York, lookin' for the Queen|-|Uh, You got the right one|-|Let these bitches know, nigga|-|Queens, Brooklyn|-|Murda on the beat so it's not nice!|-|Pussy got that wet, wet|-|Got that drip, drip|-|Got that super soaker|-|Hit that, she a Fefe|-|Hun' and Keke, she clean my dick like a freak, freak|-|I don't even know like ""why I did that?""|-|I don't even know like ""why I hit that?""|-|All I know is that I just can't wife that|-|Talk to her nice so she won't fight back|-|Turn around and hit it from the back, back, back|-|Murder that damn thing and make it clap, clap, clap|-|I don't really want no fame|-|I don't really want no friends, no|-|Draco got that kick-back|-|When I blow that thing on your track|-|They don't shoot back, one shot, close range, red dot|-|Head tie, yeah, I think that, yeah, I live that|-|Call an Uber with my shooter|-|With a Ruger, we gon' do these|-|Say they killing people but I really fucking do it|-|I don't really want no fame|-|I don't really want no friends, no|-|He tryna 69 like Tekashi call him papi|-|Word to A$AP, keep my Rocky|-|I'm from New York, so I'm cocky|-|Say he fuckin' with my posse|-|Copped my Khloe like Kardashi'|-|Keep this pussy in Versace|-|Said I'm pretty like Tinashe|-|P-Put it all up in his face|-|Did I catch a case?|-|Pussy game just caught a body, but I never leave a trace|-|Face is pretty, ass for days|-|I get chips, I ask for Lay's|-|I just sit back and when he done, I be like, ""Yo, how'd it taste?""|-|Yo, how'd it taste!?|-|I don't really want no fame|-|I don't really want no friends, no|-|Ayo!|-|Draco got that kick-back|-|When it kick-back, you can't get your shit back|-|In fact, this that bitch that|-|""I hate small talk, I don't fuck with chit-chat""|-|AC just stopped working, so they hit me, told me bring my wrist back|-|Come through rocking fashions|-|That got all these bitches like ""Yo, what's that?""|-|I don't really want no fame|-|I don't really want no friends, no|-|Eeny, meeny, miny, moe|-|I catch a hoe right by her toe|-|If she ain't fuckin' me and Nicki|-|Kick that hoe right through the door (Tr3yWay)|-|I don't really want friends|-|My old hoe just bought this Benz|-|Nicki just hopped in this shit|-|""I won't see that bitch again""|-|Eeny, meeny, miny, moe|-|I catch a hoe right by her toe|-|If she ain't fuckin' me and Nicki|-|Kick that hoe right through the door (Tr3yWay)|-|Mmm, Young Money, Young Money bunny|-|Colorful hair, don't care|-|I don't really want no friends|-|I don't really want no friends, no|-|I don't really want no friends|-|I don't really want no friends, no|-|Scum Gang!"
60,MotorSport Lyrics,"Yeah, woo, yeah, skrrt|-|M-M-M-Murda|-|Motorsport, yeah, put that thing in sports (skrrt, skrrt)|-|Shawty bad (bad), pop her like a cork (pop it)|-|You a dork, never been a sport (dork, yeah)|-|Pull up, woo, woo, jumpin' out the court (jump)|-|Cotton candy (drink), my cup tastes like the fair (cotton)|-|Straight up there (where?), we didn't take the stairs (where?)|-|Faced my fears (fears), gave my mama tears (mama)|-|Shiftin' gears (shift), on the Nawf, get serious (serious)|-|Face all your fears, then get at me|-|Hit so many donuts on them backstreets|-|Sit so high in the nosebleeds (yeah)|-|Feel like I can fly, yeah|-|Xans, Perky, check (yeah), Bill Belichick|-|Take the air out the ball, just so I can flex|-|Take the air out the mall, walkin' with the sacks|-|Take the air out your broad (hey), now she can't go back|-|Xans, Perky, check (yeah), Bill Belichick|-|Take the air out the ball (yeah), just so I can flex|-|Take the air out the mall (hey), walk in with the sacks|-|Take the air out your broad (woo, woo, woo, E)|-|Offset!|-|Uh, the coupe came imported (hey)|-|This season's Off-White come in snorted (white)|-|Green Lamborghini a tortoise (Lambo)|-|No human being, I'm immortal (no)|-|Patek and A.P. full of water (Patek)|-|Hundred K, I spend on my senora (racks)|-|My pinky on margarine, butter (margarine)|-|And my ears got McDonald's nuggets (ayy)|-|Soon, as I land on the Lear (whew)|-|Piguets, they wet, tears ('guets)|-|488, hit the gears (488)|-|Suicide doors, Britney Spears|-|I'm boujee, so, bitch, don't get near (boujee)|-|Criss Angel, make dope disappear (voila)|-|Hit the gas, it got flames out the rears (skrrt)|-|It's a race to the bag, get the mills (hey)|-|Ride the dick like a BMX|-|No nigga wanna be my ex (no)|-|I love when he go on tour|-|'Cause he cums more, when I see him less|-|I get up set off|-|I turn Offset on|-|I told him the other day|-|Man, we should sell that porn|-|Yeah, Cardi B, I'm back, bitches|-|I don't wanna hear I'm actin' different|-|Same lips that be talkin' 'bout me|-|Is the same lips that be ass kissin'|-|These hoes ain't what they say they are|-|And their pussy stank, they catfishin'|-|Same hoes that was sendin' shots|-|They reachin' out like they back itchin'|-|Why would I hop in some beef (why?)|-|When I could just hop in a Porsche?|-|You heard she gon' do what from who?|-|That's not a reliable source, no|-|So tell me, have you seen her?|-|Let me wrap my weave up|-|I'm the trap Selena|-|!Dame mas gasolina! Skrrt!|-|Motorsport, yeah, put that thing in sports (skrrt, skrrt)|-|Shawty bad (bad), pop her like a cork (pop it)|-|You a dork, never been a sport (dork, yeah)|-|Pull up, woo, woo, jumpin' out the court (jump)|-|Uh, yo, watch your man, then you should watch your mouth|-|Bitches is pressed, administer mouth to mouth|-|You see them stats, you know what I am about|-|I am the champ, I'm Iron Mike in a bout|-|Attention, I'ma need you to face front|-|You don't want smoke with me, this is a laced blunt|-|Rap's Jackie Chan, we ain't pullin' them fake stunts|-|My crown won't fit on your bum-ass lace fronts (uh)|-|You bitches catchin' a fade, shout out my nigga Lil Boosie|-|All of your friends'll be dead, you can get hit with that Uzi|-|I call him Ricky, he say he love me like Lucy|-|Get you a straw nigga, you know this pussy is juicy|-|This Givenchy is custom made, now you can't get it at Saks though|-|I don't work in no office, but they copyin' and that's facts though|-|I ain't tryna be violent, but if Nicki on it, it slaps, ho|-|Get you lined for that paper like a loose leaf when that strap blow|-|I'm with a couple bad bitches that'll rip the party|-|If Quavo the QB, I'm Nick Lombardi|-|Pull up in the space coupe, I done linked with Marty|-|I can actually afford to get a pink Bugatti|-|""Hey yo Nick, didn't you just do a hit with Gotti?""|-|That too, but my niggas send hits like Gotti|-|It's a wrap, like the things on the head of a Saudi|-|Bitch, you my son, go and sit on the potty (rrrr)|-|Brand new Chanels (Chanels)|-|I scuffed 'em runnin' from 12 (12)|-|Ain't make no commitment with none of you bitches|-|'Cause money is treatin' me well (uh uh)|-|If Nicki should show me her titty|-|Right hand on the Bible, I swear I won't tell (swear)|-|If I get to play with that kitty|-|I wonder how many platinums we gon' sell (albums)|-|Pop a Perc and catch a feel (I pop one)|-|Now I cannot feel the wheel (woah)|-|My chest bad, give me chills|-|And the left hand on Richard Mille (ice)|-|Not the watch, but the price on the ice|-|If you don't know what that is (huh)|-|Motorsport, motorville|-|Abort the mission, that's a kill (pew, pew, brrr)|-|Motorsport, yeah, put that thing in sports (skrrt, skrrt)|-|Shawty bad (bad), pop her like a cork (pop it)|-|You a dork, never been a sport (dork, yeah)|-|Pull up, woo, woo, jumpin' out the court (jump)|-|Cotton candy (drink), my cup tastes like the fair (cotton)|-|Straight up there (where?), we didn't take the stairs (where?)|-|Faced my fears (fears), gave my mama tears (mama)|-|Shiftin' gears (shift), on the Nawf, get serious (serious)|-|Girl, yeah, yeah, I wish my grandma could see me (grandma)|-|Take away pain, ain't easy (pain)|-|That's why I fire up a bleezy (fire)|-|Niggas not cappin' this season"
61,Bang Bang Lyrics,"She got a body like an hourglass, but I can give it to you all the time|-|She got a booty like a Cadillac, but I can send you into overdrive (oh)|-|(You've been waiting for that, stop, hold up, swing your bat)|-|See anybody could be bad to you,|-|You need a good girl to blow your mind, yeah|-|Bang bang into the room (I know you want it)|-|Bang bang all over you (I'll let you have it)|-|Wait a minute let me take you there (ah)|-|Wait a minute 'til ya (ah)|-|Bang bang there goes your heart (I know you want it)|-|Back, back seat of my car (I'll let you have it)|-|Wait a minute let me take you there (ah)|-|Wait a minute 'til ya (ah)|-|She mighta let you hold her hand in school, but I'mma show you how to graduate|-|No, I don't need to hear you talk the talk, just come and show me what your mamma gave (oh, yeah)|-|(You've got a very big shhhh, mouth but don't say a thing)|-|See anybody could be good to you,|-|You need a bad girl to blow your mind|-|Bang bang into the room (I know you want it)|-|Bang bang all over you (I'll let you have it)|-|Wait a minute let me take you there (ah)|-|Wait a minute 'til ya (ah)|-|Bang bang there goes your heart (I know you want it)|-|Back, back seat of my car (I'll let you have it)|-|Wait a minute let me take you there (ah)|-|Wait a minute 'til ya (ah)|-|(You know what, girls?|-|Let me show you how to do.)|-|It's Myx Moscato|-|It's frizz in a bottle|-|It's Nicki full throttle|-|It's oh, oh|-|Swimming in the grotto|-|We winning in the lotto|-|We dipping in the pot of blue foam, so|-|Kitten so good|-|It's dripping on wood|-|Get a ride in the engine that could|-|Go, Batman robbin' it|-|Bang, bang, cockin' it|-|Queen Nicki dominant, prominent|-|It's me, Jessie, and Ari|-|If they test me they sorry|-|Ride us up like a Harley|-|Then pull off in this Ferrari|-|If he hanging we banging|-|Phone ranging, he slanging|-|It ain't karaoke night but get the mic 'cause I'm singing (uh)|-|B to the A to the N to the G to the uh (baby)|-|B to the A to the N to the G to the hey|-|See anybody could be good to you,|-|You need a bad girl to blow your mind (your mind)|-|Bang, bang into the room (I know you want it)|-|Bang bang all over you (I'll let you have it)|-|Wait a minute let me take you there (ah)|-|Wait a minute 'till ya (ah)|-|Yo, I said|-|Bang, bang|-|Bang, bang, bang, bang|-|Bang, bang, bang|-|Bang, bang, bang, bang|-|Bang bang there goes your heart (I know you want it)|-|Back, back seat of my car (I'll let you have it)|-|Wait a minute let me take you there (ah)|-|Wait a minute 'til ya (ah)"
62,Big Bank Lyrics,"My bitch drive a all white Range|-|Couldn't hit it if you nigga's had aim|-|Lames can't call and you a lame|-|You had it then you lost it, hall of shame|-|I can buy a Bentley, don't talk to me|-|For a show 150, don't talk to me|-|You ain't never helped your mans, don't talk to me|-|You just follow all the trends, don't talk to me|-|I set the bar, I'm the fuckin' bar|-|In the sky, I'm a fuckin' star|-|I don't fall in love 'cause I be lovin' hard|-|Do everything like my shirt, extra large|-|I don't care how I crash a Ghost|-|Got two cribs in two states I be through the most|-|I got white folks money that I won't blow|-|If you ask why 'cause the white folks don't|-|Big bank take lil' bank, bank|-|Big bank take lil' bank, bank|-|Type of money you gon' need a safe|-|Type of money you gon' need a bank|-|From the hood, it's type of money make you stay awake|-|Type of money she gon' let you put it in her face|-|Big bank take lil' bank, bank|-|Big bank take lil' bank, bank|-|Everything proper, no propaganda|-|Choppa count a Goyard bandana|-|Big sack, a lotta hoes like Santa|-|Threw a birthday party in a Phantom|-|Big shit like a dinosaur did it|-|And you know Tity shinin' like acrylic|-|Yeah I sold dope|-|I had cornrows|-|I can you see niggas hang with the door close|-|Now I'm lookin' for a glove with the sparkle on it|-|And my CBD got chocolate on it|-|Big bank take small ass shit|-|Bank account on some tall ass shit|-|Attitude on some fuck you too|-|Bankroll on what it do, boo?|-|Meet me at the room at Vibe|-|And if I ain't did it yet, I'll try|-|Big bank take lil' bank, bank|-|Big bank take lil' bank, bank|-|Type of money you gon' need a safe|-|Type of money you gon' need a bank|-|From the hood, it's type of money make you stay awake|-|Type of money she gon' let you put it in her face|-|Big bank take lil' bank, bank|-|Big bank take lil' bank, bank|-|She said whatchu' gon do if I leave?|-|I said bitch, I'ma do me|-|B.I.G., bitch everything zoomed in|-|Big bag on me lookin' like I'm movin' in|-|Got my foot in the door and we still here|-|I'm a first generation millionaire|-|I broke the curse in my family not having shit|-|I'm passionate, like girls that's after more than just cash and dick|-|Feed me to the wolves now I lead the pack and shit|-|You boys all cap|-|I'm more Colin Kaepernick|-|I'm rare as affordable health care|-|Or going to wealth from welfare|-|I turn my Ws to M's, yeah I flip those|-|I might buy her red bottoms with the crypto|-|Three coins, that'll pay ya whole semester|-|But you gotta ride it better than a Tesla|-|Big bank take lil' bank, bank (lil' bitch)|-|Big bank take lil' bank, bank|-|Type of money you gon' need a safe|-|Type of money you gon' need a bank|-|From the hood, it's type of money make you stay awake|-|Type of money she gon' let you put it in her face|-|Big bank take lil' bank, bank|-|Big bank take lil' bank, bank|-|Uh oh|-|Back again|-|Back to back Maybach, stack the M's|-|Told em' I met Slim Shady, bag the M|-|Once he go black, he'll be back again|-|Tell them hoes that it's crunch time, abdomen|-|Yes I cop mad Chanel and mad Given'|-|She did it again, imagine them|-|Bout to make these bum bitches mad again|-|Uh oh|-|Back to them, I lead the pack so my backs to them|-|Yep, the queens back, what's happenin'?|-|Rerun bout to make these bitches rap again|-|Diamond chains on my ankle|-|Young Money in the cut like a shank though|-|Tell T.I.P. rubber band's in my bankroll|-|Show my ass like a stank hoe|-|Big bank take lil' bank|-|Big bank take lil' bank|-|Type of money you gon' need a safe|-|Type of money you gon' need a bank|-|From the hood, it's type of money make you stay awake|-|Type of money she gon' let you put it in her face|-|Big bank take lil' bank, bank|-|Big bank take lil' bank, bank"
63,Side To Side Lyrics,"I've been here all night (Ariana)|-|I've been here all day (Nicki Minaj)|-|And boy, got me walkin' side to side...|-|(Let them hoes know) I'm talkin' to ya|-|See you standing over there with your body|-|Feeling like I wanna rock with your body|-|And we don't gotta think 'bout nothin' ('bout nothin')|-|I'm comin' at ya|-|Cause I know you got a bad reputation|-|Doesn't matter, 'cause you give me temptation|-|And we don't gotta think 'bout nothin' ('bout nothin')|-|These friends keep talkin' way too much|-|Say I should give you up|-|Can't hear them, no, cause I-I-I-I-I-I...|-|I've been here all night...|-|I've been here all day...|-|And boy, got me walkin' side to side|-|I've been here all night...|-|I've been here all day...|-|And boy, got me walkin' side to side (side to side)|-|Been tryna hide it|-|Baby, what's it gonna hurt if they don't know?|-|Makin' everybody think that we solo|-|Just as long as you know you got me (you got me)|-|And boy I got ya|-|Cause tonight I'm making deals with the devil|-|And I know it's gonna get me in trouble|-|Just as long as you know you got me|-|These friends keep talkin' way too much|-|Say I should give you up|-|Can't hear them, no, cause I-I-I-I-I-I...|-|I've been here all night...|-|I've been here all day...|-|And boy, got me walkin' side to side (side to side)|-|I've been here all night (been here all night, baby)|-|I've been here all day (been here all day, baby)|-|And boy, got me walkin' side to side (side to side)|-|This the new style with the fresh type of flow|-|Wrist icicle, ride dick, bicycle|-|Come through yo, get you this type of blow|-|If you wanna Minaj, I got a tricycle|-|All these bitches' flows is my mini-me|-|Body smoking, so they call me Young Nicki Chimney|-|Rappers in they feelings cause they feelin' me|-|Uh, I-I give zero fucks and I got zero chill in me|-|Kissing me, copped the blue box that say Tiffany|-|Curry with the shot, just tell 'em to call me Stephanie|-|Gun pop and I make my gum pop|-|I'm the queen of rap, young Ariana run pop|-|These friends keep talkin' way too much|-|Say I should give you up|-|Can't hear them, no, cause I-I-I-I-I-I...|-|I've been here all night (been here all night, baby)|-|I've been here all day (been here all night, baby)|-|And boy, got me walkin' side to side (side to side)|-|I've been here all night (been here all night, baby)|-|I've been here all day (been here all day, oh baby)|-|Boy, got me walkin' side to side (side to side)|-|This the new style with the fresh type of flow|-|Wrist icicle, ride dick bicycle|-|Come through yo, get you this type of blow|-|If you wanna Minaj, I got a tricycle"
64,Swish Swish Lyrics,"They know what is what|-|But they don't know what is what|-|They just strut|-|What the fuck?|-|A tiger|-|Don't lose no sleep|-|Don't need opinions|-|From a shellfish or a sheep|-|Don't you come for me|-|No, not today|-|You're calculated|-|I got your number|-|'Cause you're a joker|-|And I'm a courtside killer queen|-|And you will kiss the ring|-|You best believe|-|So keep calm, honey, I'ma stick around|-|For more than a minute, get used to it|-|Funny my name keeps comin' outcho mouth|-|'Cause I stay winning|-|Lay 'em up like|-|Swish, swish, bish|-|Another one in the basket|-|Can't touch this|-|Another one in the casket|-|Your game is tired|-|You should retire|-|You're 'bout cute as|-|An old coupon expired|-|And karma's not a liar|-|She keeps receipts|-|So keep calm, honey, I'ma stick around|-|For more than a minute, get used to it|-|Funny my name keeps comin' outcho mouth|-|'Cause I stay winning|-|Lay 'em up like|-|Swish, swish, bish|-|Another one in the basket|-|Can't touch this|-|Another one in the casket|-|Swish, swish, bish|-|Another one in the basket|-|Can't touch this|-|Another one in the casket|-|They know what is what|-|But they don't know what is what|-|(Katy Perry)|-|They just know what is what|-|(Young Money)|-|But they don't know what is what|-|They just know what is what|-|But they don't know what is what|-|They just strut|-|Hahaha, yo|-|What the fuck?|-|Pink Ferragamo sliders on deck|-|Silly rap beefs just get me more checks|-|My life is a movie, I'm never off set|-|Me and my amigos (no, not Offset)|-|Swish swish, aww I got them upset|-|But my shooters'll make 'em dance like dubstep|-|Swish, swish, aww, my haters is obsessed|-|'Cause I make M's, they get much less|-|Don't be tryna double back|-|I already despise you|-|All that fake love you showin'|-|Couldn't even disguise you|-|Ran? When? Nicki gettin' tan|-|Mirror mirror who's the fairest bitch in all the land?|-|Damn, man, this bitch is a Stan|-|Muah, muah, the generous queen will kiss a fan|-|Ass goodbye, I'ma be riding by|-|I'ma tell my nigga Biggz, yeah that's tha guy|-|A star's a star, da ha da ha|-|They never thought the swish god would take it this far|-|Get my pimp cup, this is pimp shit, baby|-|I only rock with Queens, so I'm makin' hits with Katy|-|Swish, swish, bish|-|Another one in the basket|-|Can't touch this|-|Another one in the casket|-|They know what is what|-|(Do they know?)|-|But they don't know what is what|-|They just know what is what|-|But they don't know what is what|-|They just know what is what|-|But they don't know what is what|-|They just strut|-|What the..."
65,Swalla Lyrics,"Drank|-|Young Money|-|Love in a thousand different flavors|-|I wish that I could taste them all tonight|-|No, I ain't got no dinner plans|-|So you should bring all your friends|-|I swear that a-all y'all my type|-|All you girls in here, if you're feeling thirsty|-|Come on take a sip 'cause you know what I'm servin'|-|Shimmy shimmy yay, shimmy yay, shimmy ya (drank)|-|Swalla-la-la (drank)|-|Swalla-la-la (swalla-la-la)|-|Swalla-la-la|-|Shimmy shimmy yay, shimmy yay, shimmy ya (drank)|-|Swalla-la-la (drank)|-|Swalla-la-la (swalla-la-la)|-|Swalla-la-la|-|Freaky, freaky gyal|-|My freaky, freaky gyal|-|Shimmy shimmy shimmy yay, shimmy yah|-|Bad girls gon' swalla-la-la|-|Bust down on my wrist in this bitch|-|My pinky-ring bigger than this|-|Met her out in Beverly Hills, ay|-|Dolla got too many girls, ay|-|Met her out in Beverly Hills, all she wear is red bottom heels|-|When she back it up, putting on her snapback|-|When she droppin' low, putting on her backpack|-|DJ poppin', she gon' swallow that|-|Champagne poppin', she gon' swallow that|-|All you girls in here, if you're feeling thirsty|-|Come on take a sip 'cause you know what I'm servin'|-|Shimmy shimmy yay, shimmy yay, shimmy ya (drank)|-|Swalla-la-la (drank)|-|Swalla-la-la (swalla-la-la)|-|Swalla-la-la|-|Shimmy shimmy yay, shimmy yay, shimmy ya (drank)|-|Swalla-la-la (drank)|-|Swalla-la-la (swalla-la-la)|-|Swalla-la-la|-|Freaky, freaky gyal|-|My freaky, freaky gyal|-|Bad gyal nuh swalla nuttin, word to the Dalai Lama|-|He know I'm a fashion killa, word to John Galliano|-|He copping that Valentino, ain't no telling me ""no""|-|I'm that bitch, and he know, he know|-|How you wifin' these thots? You don't get wins for that|-|And another good year, we don't get blimps for that|-|Pussy game still cold, we don't get minx for that|-|When I'm poppin' them bananas, we don't link chimps for that|-|I gave these bitches two years, now your time's up|-|Bless her heart, she throwing shots but every line sucks|-|I'm in that cherry red foreign with the brown guts|-|My shit slappin' like dude did Lebron nuts|-|All you girls in here, if you're feeling thirsty|-|Come on take a sip 'cause you know what I'm servin'|-|Shimmy shimmy yay, shimmy yay, shimmy ya (my love) (drank)|-|Swalla-la-la (my love) (drank)|-|Swalla-la-la (swalla-la-la)|-|Swalla-la-la|-|Shimmy shimmy yay, shimmy yay, shimmy ya (drank)|-|Swalla-la-la (drank)|-|Swalla-la-la (swalla-la-la)|-|Swalla-la-la|-|Young Money|-|Swalla-la-la|-|J.D|-|Freaky, freaky gyal|-|Swalla-la-la|-|My freaky, freaky gyal|-|Swalla-la-la|-|My freaky, freaky gyal|-|Swalla-la-la|-|My freaky, freaky gyal|-|Derulo"
66,The Light Is Coming Lyrics,"You wouldn't let anybody speak for this and instead|-|You wouldn't let anybody speak for this and instead|-|Ay yo|-|Trophy wife, aw, you want me|-|Until you had to find out, it's on me|-|Now you benched, aw you're bum knee|-|Now I'm the bad guy, call me Chun-Li (ooh)|-|'Cause you was slippin', yeah you clumsy|-|And everything I peep, can't just unsee|-|Sips tea, and it is unsweet|-|Respect bad gal, when mi done speak?|-|Now we shooting the shot like drive-by|-|Why you had to make me go call up my side guy?|-|Can't let a f-boy f- up my nice vibe|-|Yo Ariana, come let me give you a high five|-|The light is coming to give back everything the darkness stole|-|You wouldn't let anybody speak for this and instead|-|The light is coming to give back everything the darkness stole|-|You wouldn't let anybody speak for this and instead|-|The light is coming to give back everything the darkness stole|-|You wouldn't let anybody speak for this and instead|-|The light is coming to give back everything the darkness stole|-|You wouldn't let anybody speak for this Instead|-|What does she say? What did he say?|-|You don't listen 'cause you know everything|-|You don't even need dreams|-|Tellin' everybody ""Stay woke don't sleep""|-|Ah, 'bout to break that shit down|-|You don't wait until they wait another round|-|Ah, guess you're way above it now|-|And then she wait another night|-|I've been into you, shit that you've been through|-|Damn, I'm so confused, who cares about the rush of it|-|In an interview|-|That's the bottom line, know-it-all (know-it-all)|-|Given you a box of chances every time you blow it all (blow it all)|-|'Cause if it was shade, he would just throw it all (throw it all)|-|It's like you're trying not to blow it all (blow it all)|-|Know-it-all (know-it-all)|-|The light is coming to give back everything the darkness st-st-stole|-|You wouldn't let anybody speak for this and instead|-|The light is coming to give back everything the darkness stole|-|You wouldn't let anybody speak for this and instead|-|The light is coming to give back everything the darkness st-st-stole|-|You wouldn't let anybody speak for this and instead|-|The light is coming to give back everything the darkness stole|-|You wouldn't let anybody speak for this-"
